,itemId,userId,rating,label
162,16,163,1.0,3.0
163,16,164,3.0,3.0
164,16,165,2.5,3.0
165,16,166,3.0,3.0
166,16,167,3.0,3.0
167,16,168,2.5,3.0
168,17,169,3.0,3.0
169,17,28,2.5,3.0
170,17,170,1.5,1.0
171,17,171,2.5,3.0
172,17,172,3.0,3.0
173,17,173,3.0,3.0
174,17,174,3.0,3.0
175,17,175,3.0,3.0
176,17,160,3.0,3.0
177,17,176,3.0,3.0
178,17,177,3.0,3.0
179,18,178,3.0,1.0
180,18,179,3.0,3.0
181,18,180,3.0,3.0
182,18,181,3.0,3.0
183,18,182,2.5,3.0
184,18,183,2.5,3.0
185,18,184,3.0,3.0
186,18,185,3.0,3.0
187,18,186,3.0,3.0
188,18,187,3.0,3.0
189,18,188,3.0,3.0
190,19,189,2.5,3.0
191,19,190,2.5,3.0
192,19,191,3.0,3.0
193,19,192,2.5,3.0
194,19,193,3.0,3.0
195,19,194,3.0,3.0
196,19,195,3.0,3.0
197,19,196,3.0,3.0
198,19,197,3.0,3.0
199,19,198,3.0,3.0
200,19,36,3.0,3.0
201,19,199,3.0,2.0
202,20,200,3.0,3.0
203,20,140,3.0,3.0
204,20,201,3.0,3.0
205,20,146,3.0,3.0
206,20,202,3.0,3.0
207,20,203,3.0,3.0
208,20,145,3.0,3.0
209,20,31,3.0,3.0
210,20,204,3.0,3.0
211,20,205,3.0,3.0
212,20,138,2.5,3.0
213,20,141,3.0,3.0
214,21,206,3.0,3.0
215,21,207,3.0,3.0
216,21,115,3.0,3.0
217,21,208,3.0,3.0
218,21,209,3.0,3.0
219,22,210,2.5,3.0
220,21,211,2.0,1.0
221,22,212,3.0,3.0
222,22,213,3.0,3.0
223,22,207,3.0,3.0
224,22,214,3.0,1.0
225,21,215,3.0,3.0
226,21,100,3.0,3.0
227,21,210,2.5,3.0
228,21,216,3.0,3.0
229,22,217,2.5,3.0
230,21,218,3.0,3.0
231,22,219,3.0,3.0
232,21,220,2.5,3.0
233,22,189,2.5,3.0
234,22,215,3.0,3.0
235,22,221,3.0,3.0
236,22,110,3.0,3.0
237,22,222,3.0,3.0
238,23,223,2.5,3.0
239,23,224,3.0,3.0
240,23,225,3.0,3.0
241,23,226,3.0,3.0
242,23,227,3.0,3.0
243,23,228,1.5,1.0
244,23,229,2.5,2.0
245,23,230,2.5,3.0
246,23,231,3.0,3.0
247,23,232,3.0,2.0
248,23,233,3.0,3.0
249,23,234,3.0,3.0
