,rating,comment,itemId,userId,label,check_label
3648,3.0,"This is a great, easy to use tablet for the price.",6,1966,3.0,True
841,3.0,I bought this device for my wife and she loves it. Plays videos for cooking. 1 on gift list. For sure.,4,1922,3.0,True
203,3.0,"This Echo Show comes in handy. I use it almost as much as I thought I would. I am still learning all that it can do, but my favorite part is the screen. It’s not a huge deal, but if I could change one thing it would be a detachable power cable instead of hardwired.",4,2875,1.0,False
4068,3.0,"Not much to say here. Cheap, fast and very functional. I was able to install google play store and everything works perfectly. Best tablet in its category. If you want something better, you better be ready to pay 3-4 times the price.",6,2905,3.0,True
963,3.0,"My new Echo Plus has been a fun find. It is working as advertised, and we are still exploring the many, many ways you can use this device. You do need some tech savvy on apps, wifi, and willingness to do some reading on the various ""skills"" but it is well worth it. Already added an Echo Dot to the mix.",16,2211,3.0,True
768,3.0,Alexa is a wealth of knowledge and learning more and more every day.,4,904,2.0,False
1330,3.0,"This has got to be the best electronic purchase I’ve made in recent months! Easy to set up, so many skills to enable, Alexa knows it all! The range is about 30 feet for it to hear and recognize my voice. Be sure to speak clearly. Great purchase, and exceeds my expectations. Works great with my iOS devices too!",16,1722,3.0,True
4756,3.0,Bought this for my adult son who had a long flight and he absolutely loved it! Definitely recommend!,15,1681,3.0,True
1744,3.0,This was the perfect gift for grandkids. I bought one in pink and one in green so each grandchild would have their own color. Lots of games come with the tablet and additional games and videos can be added.,19,1863,3.0,True
1679,2.0,"Overall it is a good tablet, but I am not a fan of the limitations of the silk browser and Amazon app store.",8,927,3.0,False
334,3.0,I love it. It does so much and is so easy to use. I use it mostly for music and questions.,4,3062,3.0,True
4772,2.5,"This is my first Fire Kindle. I love it. It is fast, and has good internet. It gives me quick access to all my Kindle library. I found out it's easier to scroll through the pages than when using Kindle Touch.",15,3116,3.0,False
3860,3.0,"This Fire tablet is a nice upgrade to the one I purchased 3 years ago. The screen is great, it is very fast, has lots of storage with the SD card, and just an all-around good product. And a great value.",6,1376,3.0,True
4499,2.5,This was a perfect tablet for my 12 year old. It does everything that she needed it to.,5,1263,3.0,False
1296,3.0,Great product. I use it everyday. It’s a great way to automate your home,16,2980,3.0,True
4116,3.0,Really enjoy this product. Love watching movies and playing games on my Fire HD 8,6,2094,3.0,True
1573,3.0,"For the money I highly recommended it. It is great when linked to Netflix, Disney Movies, etc",8,2773,3.0,True
3506,3.0,My 2nd Fire. Great picture quality. Easy to use. Would recommend for all ages.,6,3387,3.0,True
4821,3.0,"Got it for the kids and they love it. I am also a prime member as well there are so many great things for members, movies, apps, games and shows that are free. If you are looking for a simple tablet to help occupy some free time look into one.",1,2311,3.0,True
688,2.5,Great item for the new home. Better than purchasi. This is a good product,4,1606,3.0,False
456,3.0,I bought this as a gift for a relative with Amazon Echo in his house. He loves it.,4,427,3.0,True
971,3.0,"I originally purchased this to use as a Bluetooth speaker for my wife's music but soon realized that we would use this much more than we thought. Ya, turning on and off lights is good and being able to dim with the included bulb is pretty great but there are hundreds of smart home type of apps that work with this including my Sony Google TV and more show up regularly. Makes it almost too easy to be lazy.",16,1510,3.0,True
3552,3.0,The kindle is great not only is it a reader its bascially a computer. It connects to the internet it takes pictures and has many other great features.,6,1126,3.0,True
454,3.0,Long time Alexa user. The video screen just takes it to the next level great product,4,2085,3.0,True
3356,3.0,Purchased after theft in Seattle. It was on sale and works great.,3,573,3.0,True
1622,2.5,"This is my second Kindle and I love it! It's so convenient to be able to carry around hundreds of books without the bulk and weight of literally carrying around hundreds of books. I just wish I could have bought accessories at Best Buy. Also, the sales rep knew nothing about the devices and had to 'Goggle' info on her phone.",20,1616,3.0,False
680,3.0,I have really enjoyed these products so much I actually bought 3 of them. Fun to watch and even better if you are an Amazon Prime customer for music and video.,4,3580,3.0,True
604,3.0,I am so happy with this product. It is so helpful to use st any time of the day. I.can do things while I am lying in bed definitely recommend this product,4,3406,3.0,True
2050,3.0,this tablet is a good for small children it has a good cover,19,3414,3.0,True
2452,3.0,"We bought this for our daughter, she plays with it a lot and really loves it.",8,168,3.0,True
1906,3.0,"This is my second Kindle Fire and I have been extremely pleased with them both. This second one is much more versatile, and I love it!",8,2551,3.0,True
4250,2.5,Looks nice can't wait to try it out! Great price for a tablet.,5,979,3.0,False
2414,2.5,"I was worried that it would have lag, but it didn't. I got this to replace my Kindle paperwhite (Which I still LOVE), because I wanted to be able to listen to the audio on the books as well. IT's a great little tablet that does so much of what I wanted it to do. The stand by time and play time are better than I thought they would be as well. I LOVE the blue light filter, although that takes time to get used to it if your not already accustomed to that sort of thing. The only other thing I really don't care for is the fact you can not easily add Google play store.",8,199,3.0,False
3033,2.5,"I understood it did not have the wake command. But it would be better if it had it.Other than that, everything is wonderful with this speaker! Really convenient to be able to listen to my podcasts without messing with my phone or apps, just ask Alexa and she plays the most recent episode!",17,1525,3.0,False
4788,3.0,"I have not set up tablet, geeks squad to do so Monday April 3 2017",9,2009,2.0,False
2107,3.0,My grand daughter loves it and so do her parents! Very durable. I'd highly recommend this product,19,1731,3.0,True
4812,3.0,Great product. Exactly what I've come to expect from my Kindle readers.,1,2167,3.0,True
1599,3.0,"bought this kindle for my grandson, he loves it and it very easy to use",8,208,3.0,True
4035,3.0,My 4 year old Grandson loves his Kindle. He had to have one after his sister got one.,6,3740,3.0,True
1574,3.0,"I got this for my daughter, she enjoy playing this",19,63,3.0,True
1290,3.0,I am not the most tech savvy person and found this very easy to get set up without any help.,16,3162,2.0,False
4346,3.0,This tablet is perfect for my six year old's learning apps.,5,2389,3.0,True
4781,2.5,"But, I can't figure out how to move books I've read, into the Cloud? I don't like clutter, and the more I read and download, just clogs up.",9,3068,2.0,False
4134,2.0,Good tablet but not as smooth as high end tablets. It's limited to Amazon so don't expect to do as much as an Android or iPad. I like mine and will continue to use it. I recommend using one if you can before buying.,6,580,3.0,False
3404,3.0,Definitely an amazing deal at an amazing price on Black Friday weekend,6,644,3.0,True
1945,3.0,i love the kindle fire 7 tablet. it is wonderful and awesome.,8,1115,3.0,True
537,3.0,"Having LOTS of fun with Alexa! Tells us weather, stories, plays music trivia games with us, helps with shopping list, and can face to face talk with my sister in another state (bought one for her too) - great addition to our home!",4,949,3.0,True
3624,2.5,"Once taking time to install google play store, It functioned as good as any other android tablet. The down side is camera which doesn't produce clear pictures.",6,1106,2.0,False
3526,2.0,"The tablet works fine. It is responsive with good resolution. It is too tied to Amazon. It requires too many hoops to get apps such as Zinio to work. Until Amazon loosens its grip, I recommend only at a very good price.",6,18,3.0,False
2413,1.0,Worst product ever. Constantly screwing up and filled with ads you have to pay to remove. Best Buy refused to help when I wanted to return it,8,2412,2.0,False
3397,3.0,This is my 4th Kindle - I use it as a tablet when I travel,6,619,2.0,False
2776,2.0,"Its a decent reader for beginners. There is no backlight, so not good for reading in dark. also slips from hands, so purchase a cover if you buy it.",20,1662,3.0,False
4398,2.5,"Got this when it was on sale mainly to get the books not available @ B&N and to play audiobooks. Main drawback: the constant advertising! You turn it on and get a ad. Let it sit for a moment or two, another ad pops up. Ads for nothing I've ever expressed an interest in. Very irritating.Color is very crisp and clean.Love my older Nook but lately B&N doesn't always have the books that are available on Amazon. Will continue to use the Nook as my primary e-reader with the Fire as my primary audiobook player.",5,1125,1.0,False
4450,2.5,Great for my kid. She takes it on all our road trip.,5,706,3.0,False
1184,3.0,"I am not a tech person, but I was able to easily connect these devices to my network",16,2157,2.0,False
566,3.0,"Bought as a gift for my wife, she loves it and the screen is very handy for recipes and such.",4,3618,3.0,True
2083,2.5,very durable and easy to work with. I love its functionality and my kid loves having his own tablet. good stuff,19,2633,3.0,False
1441,3.0,Love this thing ! I have linked it to my Hue System and my Fire TV. I ask her and she does it. Fun to play games also. My wife was sceptical but now she uses it more than me,16,1967,3.0,True
3379,3.0,I bought this as a gift. I think it is pretty decent both quality and design.,3,2762,3.0,True
2345,3.0,If you really want to have a good read on something digital this is the item you're looking for. It really is lightweight and highly functional. The battery lasts a long time and the screen is easy on the eyes. The only difficulty sometimes is reading in extremely bright environments. Overall an excellent buy.,20,1001,3.0,True
1481,3.0,It is very convenient and fun. voice comands are easy to use. It plays the music you want and even reads my kindle while I cook.,16,3760,3.0,True
104,2.5,Got it for few weeks but it kind of fades away from your life.,4,1343,2.0,False
770,2.5,I am very pleased with the sound and picture quality. It does not link to direct tv.,4,336,3.0,False
2818,3.0,I bought this for reading/listening books. Love the availability to expand the memory. Now I can load movies and tons of books! :-),8,1120,3.0,True
1226,3.0,this is so much better than the echo dot. the smart hub is pretty cool,16,3391,3.0,True
2435,3.0,So I was given a HD for Christmas and when this went on sale in time for Father's Day I had to get it... Love that it has the expansion slot!!!,8,1469,3.0,True
4297,3.0,"bought this kindle for my grandson, he loves it and it very easy to use",5,208,3.0,True
2415,3.0,Using for Pandora in an office setting. Set up with older system and speaker system - works great.,8,2697,3.0,True
2190,3.0,This has a lot of good features to limit the amount of time and what is accessed.,14,2059,3.0,True
3673,3.0,I bought this fire for my 7 year old and she loves it.,6,577,2.0,False
4242,3.0,"battery seems to die fast, but that is my only complaint.",5,1320,3.0,True
1530,3.0,Love it along with the Fire Stick works great. Works great with the voice,16,1887,3.0,True
4251,3.0,I tryed the 16GB to see if it was any different from the 8GB and found little difference.May hold more apps,5,1303,1.0,False
940,3.0,"My wife said I’m developing a “Star Trek” home...while I’m still learning what all I can do with this over the regular Echo, I am looking forward to getting my Ring Doorbell installed! Great product, I can rave enough about them!!!",4,2875,3.0,True
3567,3.0,"I use most of Amazon services (Prime, Kindle, Music, Video, Alexa) and this is the best companion to access all services seamlessly. This tablet also has great features/expansion and performance.",6,466,3.0,True
2200,2.5,"This was a gift for a 4 year old who was enjoying it immediately with very little adult assistance required. Haven't used it myself, but probably won't, its for kids! Good purchase.",14,2530,2.0,False
4790,2.5,"A little more complicated than my original kindle, but I lIke it.",9,3421,3.0,False
169,3.0,"We love that even our four year old can tell Alexa to ""call papa"" or Alexa turn on the kitchen lights!",4,2350,3.0,True
4647,3.0,This is the third Fire tablet I have bought. The larger size is nice.,22,2457,2.0,False
711,3.0,We already love our other Alexa/Echo devices and this is our favorite. The drop in video chat feature is my favorite!,4,2672,3.0,True
1431,3.0,"The speaker is loud enough to cover my room but I still connect external speakers. The hub portion of the device works well, although I wish it had more capabilities when it comes to controlling hue lighting.",16,1582,3.0,True
1034,3.0,We love our Alexia! We mostly use it for music and to control the lights.,16,2314,3.0,True
2304,3.0,I bought this for my grandson and he loves it. great,14,2964,3.0,True
3926,3.0,"Love using this Kindle to look up real estate sales, play mind games, and take pictures. Love the bigger screen and the great resolution. Sound is also far superior to my older model Lindle.",6,1590,3.0,True
863,3.0,I am so happy to have the Echo Show. I have been able to listen to Christmas songs and some country western music. It has so many other things to do with it that I can not wait to try some.,4,2671,3.0,True
1121,3.0,"We finally decided to try the Echo system, after months and months of debate. We purchased the Echo Plus & an Echo Dot. The Plus easily handles our main two floors and the Dot handles our upstairs. The Plus's speakers are incredible for its size. We both agree we made the right choice to get the Plus.",16,3128,3.0,True
2358,3.0,Great tablet for kids very entertaining and informative for kids learning,14,2454,3.0,True
4184,1.5,I can't update Facebook and a few other apps. It's not what I expected.,5,3026,1.0,False
3733,3.0,Be sure to join Amazon Prime and have access to lots of free reading downloads,6,16,3.0,True
2901,3.0,very good product and service will refer a friend.,20,147,3.0,True
3169,3.0,"This is a great product. I also have a Dot but the ability take this anywhere is a huge bonus, the hands free mode works just like the Dot, and the sound is great. I use the Tap all the time; working on projects, making shopping lists, playing games, to turning on the lights. I looked at the Echo but even with a battery pack it didn't seem very mobile.",17,1541,3.0,True
2523,3.0,I had always been looking to upgrade my original Kindle. I love the new touch features and display on this one. The size also makes it very easy to transport.,20,1371,3.0,True
3185,3.0,"Bought an IPad and didn't like it. Returned it and got the Fire 10.1. This is my third Fire, love it....no.learning curve.",7,983,2.0,False
2305,3.0,Great for kids if you don't want to spend money on the IPAD.,14,1628,3.0,True
2791,3.0,Got it when it was on sale. Totally fall in love with it. Bring with it me everywhere.,20,3177,3.0,True
3164,3.0,"Love this product. It is nice looking, easy to carry, and the sound is amazing. Very easy to set up and connect to amazon echo. Nothing to complain about th he speaker itself. However the carrying case is kind of stupid and useless also. One has to take it down just in order to charge.",17,1023,3.0,True
1524,2.0,They make it seem like you can pretty much ask anything to Alexa but she never knows anything. It is very non responsive at times too.,16,3479,3.0,False
1967,3.0,The kid really love this kindle fire. The protection for the kindle help protect the kindle,14,797,3.0,True
4153,3.0,Very easy to use tablet. Lots of apps and game available.,6,648,3.0,True
3636,1.0,"was cheap, can not run chrome stuff, returned to store.",6,3055,3.0,False
4519,3.0,I had a Kindle Fire and upgraded to the 5th generation. Could not be more pleased with this tablet.,5,2394,1.0,False
4324,2.5,"I bought this for my mom while she was in rehab following shoulder surgery. She loved it. I put several books on it for her and she liked the ease of use, she does not get on the computer and so I needed it to be easy.",5,3604,3.0,False
218,2.5,"We bought this to view our Arlo Pro cameras on something other than our iPhones. The Show does a great job of this. It is a fantastic Alexa device. My minor complaints are that it is slightly smaller than expected and you can’t view YouTube videos on it. Not huge deals at all, but minutely disappointing.",4,3139,3.0,False
2738,2.0,This tablet is grrrrrrreeeeeeeeaaaaaattttttt for the children!,14,1348,2.0,True
1116,3.0,Had the Echo Plus over a week and this thing is amazing. Great sound and easy to move around. A little tricky with the set up but works great.,16,1565,3.0,True
1425,3.0,"Amazon and Philips Hue work great together. very easy setup. The only drawback is using these bulbs on a non-Philips dimmer switch. The bulbs flicker a bit, even when it's set to full on",16,338,2.0,False
34,2.5,"Great buy, do a lot of reading and he no glear screen is awesome while in the sun.",10,3002,2.0,False
4201,3.0,I gave as a gift to a kid who has autism! It has been helping on his development a lot!,5,404,3.0,True
4418,3.0,I bought this as a gift for my sister and every time I see her she is using it. She does not have a computer or internet at home and is very dependent on the library. This works so well for her. A stop anywhere there is free wifi and she is online. So much tech utility for such a low price.,5,704,3.0,True
1777,3.0,my son had a nabi we bought for learning & entertainment. there were many games we downloaded that didnt work without internet or would shut down randomly on it. But we habe yet to encounter a problem with the fire! i download games and books for him to read which work just great without having to be connected to the internet.,14,1302,3.0,True
3465,3.0,Great all around tablet. Color and resolution is very nice. Best price for a nice product.,6,1999,3.0,True
2823,3.0,I have not stopped reading on this amazon fire. Love it!!,8,1485,3.0,True
3799,3.0,The tablet works great so far. The parent features are nice also.,6,3109,3.0,True
4761,3.0,Does everything we wanted. Great value for the price.,9,733,3.0,True
1227,3.0,Awesome product and cool design and a great color I would recommend to a friend,16,3694,3.0,True
1863,3.0,I bought it for my 2 year old and he loves it. It's easy to use and the perfect size for his hands.,14,1934,3.0,True
2620,3.0,I purchased two for my grandchildren. They carry the Kindle with them everywhere they go. Great purchase!,14,3594,3.0,True
2524,3.0,"My son has the Hd fire used for last 3 years, I bought this one for my moms birthday. She loves it. It's easy to navigate and the ability to increase the size of the print allows for the smaller screen cheaper price :)",8,726,3.0,True
2054,2.5,I was very pleased with how easy it is for children to maneuver.,14,3235,3.0,False
890,2.5,Great product will recommend it to friends and family.,4,1468,3.0,False
1487,1.5,Too difficult to setup not compatible with other equipment,16,3736,3.0,False
3844,2.5,Got these on black Friday for early Christmas gifts. Very good buy on a pretty good tablet.,6,1576,3.0,False
1533,3.0,we bought this as a gift for our son. he is absolutely loving it.,16,2695,3.0,True
1297,3.0,Very happy with amazon not hesitating to integrate their products with third party integration.”Crestron,16,3259,3.0,True
2687,3.0,grandson really enjoyed it Christmas. very easy to use,14,1056,3.0,True
2762,2.5,Tablet is easy for children to use and the battery lasts!,14,2036,3.0,False
3320,3.0,"Exceeded my expectation. Easy to read, books load and store with ease ! Great for saving space for avid reader. I can travel with many books dont have to worry about space",3,3420,3.0,True
3776,1.5,"I loved this tablet. I did! BUT I did not love that I was being sold ads every time I powered up! I loathe even more that I would have had to pay $15 to discontinue that feature. Amazon if you want $105 dollars for the Kindle Fire, charge it! but don't under price the device, and then flash ads at the the consumer at every opportunity. It is unbecoming of you! I returned this item pronto!",6,451,3.0,False
3243,3.0,I bought this device for my wife. She has been using a Kindle Fire 7.I wanted something with a bigger screen for her.She likes it very much.,7,3655,3.0,True
2842,2.0,The sleek design and colors available for small kids is good. The tablet is a nice price and useful.,8,3654,3.0,False
4684,2.5,Easy to handle. Light weight. I like that it automatically shuts off when the cover is closed.,23,3405,3.0,False
2614,3.0,This is a great beginner tablet for children. Bumper pad fantastic for protection from falls.,19,3256,3.0,True
1111,3.0,"This is a great entry level Alexa product. The speaker is adequate, but the inclusion of the Philip’s hue bulb makes it feel like a good deal",16,650,3.0,True
1529,3.0,"She's becoming part of the family, but, the Echo Plus is not much different (that I have discovered, yet, anyway) than the Echo 2nd generation. I haven't had the Echo 1st generation and so I do not know. I have had the Echos (Plus, Echos-2nd generation, and Dot) about 3 weeks and the only thing I think makes the difference is that it has a better sound quality, but, we are talking for those really connoisseur kinds of ears or the ones that like to turn up the volume. The Hue lightbulbs are great. I bought the Echo Plus on a Black Friday extended Sale and the Hue lightbulb was a real bonus, further. I liked it so much I went back and bought the pack of Hue bulbs that were also on sale. We are loving the whole system and the lightbulbs.",16,1939,3.0,True
1940,3.0,This product is well thoughts the kids seem to like the apps,14,1587,3.0,True
9,3.0,"It's beyond my expectation, and it can even show music score. Not fast turning though.",10,302,1.0,False
4458,2.5,"Works great, good price. Would buy it again. Kids have great time with it.",5,2611,3.0,False
2727,3.0,Great price great product would recommend this gift,14,2078,3.0,True
3217,3.0,"I've had the first kindle fire, I love the tablet.Why because it's bigger",7,3209,3.0,True
4149,2.0,"The specs are good, feels solid, can't stand the OS. Too many ads you can't get rid of, not as customizable as I'd like. If that doesn't bother you, it's a good tablet for the price. Don't expect to run games on it, not powerful enough for that.",6,2517,2.0,True
1879,3.0,I observe my 4 year old granddaughter using this tablet with ease. She is able to play some of the games and upload movies. Her mom had to put a secret password for the movies because she downloaded some that you had to pay for!,14,1338,3.0,True
3111,3.0,I bought it for my 15 year old daughter and she loves it. Her friends even loved it so much they went and bought them too.,17,2115,3.0,True
4013,2.5,Very competitive Price - Unit works well we like color and size,6,3003,3.0,False
2038,3.0,This kindle is amazing and better than prior versions.,20,1251,3.0,True
4373,3.0,I bought this one for a family member because I loved mine so much! She was very pleased.,5,567,3.0,True
3088,3.0,Great sound. Portable. The kids love it. Didn't think I would use it but I tend to use it a lot.,17,973,3.0,True
1671,3.0,Very satisfied. Price was great. The curved screen is nice but I believe you get more TV with straight screen. I believe it is just a viewers choice. We have a sound system so I can't speak about the sound.,8,1967,3.0,True
2506,3.0,IT was just as described. I would recommend it to a friend.,8,2597,3.0,True
3264,3.0,Very nice. Easy to use. Got it to use with Amazon prime. Great combo.,7,1932,3.0,True
1166,2.5,The system is able to react quickly to the verbal directions. It even is able to pickup voices across the room and seems to capture the commands accurately even when spoken quickly.,16,2051,3.0,False
647,2.5,Works good. Have to be very careful with kids. Overall good product,4,1689,3.0,False
2480,2.0,"I bought it cause I wanted to read more. That didn't happen, I tried and I just can't read on devices I need old school paper between my hands",20,1974,3.0,False
342,3.0,"Easy to log in and set up. Good sound. Needs a remote for the volume as is changes with each radio station, song, or replies.",4,1702,3.0,True
351,3.0,"This thing is really cool, love that it gives all the words to songs",4,886,3.0,True
1974,3.0,Got 2 of these for Christmas gifts for our grandsons & they love them!,19,2721,3.0,True
2209,2.0,Wish it was easier to understand set up so children don't accidently charge to my account.,14,937,3.0,False
3024,3.0,"bought as a gift for my daughter. actually sounds better and easier to set up than expected. the personal assistant feature is really amazing, instant response to requests for information and music.",17,3711,3.0,True
1436,3.0,Works great! I am looking forward to purchase more for the diffrent rooms in my house.,16,2946,3.0,True
808,2.5,"Purchased for my mom in a memory care center. She doesn’t have to answer the phone, we simply drop in and start talking until she sees us. Picture clarity awesome! Staff also aware of this camera feature and knows we drop in frequently. Doesn’t replace room camera but good. Would give a 5 but can’t figure out how to have other alexa owners drop in on her. Anyone know?",4,1610,2.0,False
4697,3.0,"I thought long and hard about upgrading from my paperwhite, but decided to do so despite not beating able to actually see one in the store. I have owned a Kindle since the second generation version. This is by far my favorite. The look and feel are amazing. I don't regret the purchase one bit as I have the disposable income to do so, but for most the paperwhite will more than suffice at a significantly smaller price point.",23,725,3.0,True
3757,3.0,"I got this tablet for my mother and cousins. It's been very speedy to my surprise, not as fast as a high end tablet but no lag and a very nice 720p display with good build quality. Would definitely recommend if your looking for an affordable tablet",6,2461,3.0,True
4527,3.0,I hope to find all my books in the electronic format.,5,1384,2.0,False
509,3.0,"We love our echo show, It’s fun to use and she can do a lot of things.",4,1721,3.0,True
1174,3.0,"This Amazon Echo is the COOLEST gadget you can buy, it is VERY SMART and learns very fast. it runs many items in our home IE Nest, LG TV, Lights",16,2949,3.0,True
726,3.0,It's great! I love the hand free whatever you want. It plays videos on Amazon by just asking it to play. At work I can video call my girlfriend at home with the show as well. Highly recommend,4,2699,3.0,True
2631,2.0,There is nothing spectacular about this item but also nothing majorly wrong with it. The biggest flaw is that this is geared to kids and there is no way that I have found searching settings or online to lock the touch screen so that a video keeps playing if the child hits the screen. This means lots of times helping get back into the movie or show rather than just relaxing like an iPad can do with guided access activated.,14,438,3.0,False
4415,3.0,We've had this tablet for about a month and have no complaints. Great tablet for a kid with lots of storage for games!,5,1416,3.0,True
2655,2.5,We got this for our three year old daughter. At first she was not interested it it at all she just wanted my tablet but once she got use to it she now prefers it to my iPad,19,2682,3.0,False
1692,2.5,This was a perfect tablet for my 12 year old. It does everything that she needed it to.,8,1263,3.0,False
527,2.5,"We purchased the Echo Show for Christmas this year, and love it so much! Our kids got the hang of it faster than we did (ages 11 and 13)! Highly Recommend!",4,2419,3.0,False
1861,3.0,I got this for my two grandsons (ages 2 & 4) for Christmas. They love them.,14,291,3.0,True
76,3.0,"My wife loves it, replaces a Kindle from like 2003.",10,3415,3.0,True
642,3.0,"This is a perfect upgrade to my kitchen Amazon Echo. The speaker itself is a substantial upgrade over the Echo and Dot. I have it connected to my Nest security cams and it's great to check on my dogs when they are having play time in my fenced backyard. It can be a bit distracting with it's random invitations to ""try"" certain skills, but the distraction is worth it! This product absolutely represents the future that I imagined when I first watched Back to the Future 2 decades ago! The only con's that I can think of is sometimes Alexa doesn't hear me so well (same for the Echo and Dot) and it currently can't differentiate between users like Google Home can. I have had the Google Home too, and would highly recommend any of the Amazon devices over the Google Home.",4,1659,3.0,True
2161,3.0,"Bought this tablet for my son..great battery life, shipped fast..great value!",8,138,2.0,False
