,reviewId,rating,hum_testimony,testimony,itemId,userId
22,2209,5,pos,"So my 18 month old maybe the future computer wizard because she everything about my tablet. However my biggest concern is not so much that she knows how to unlock my Ipad, but throwing it down the stairs like one of her toys. Which makes the Kindle Fire tablet for kids the best invention since the Tivo. All the pre loaded apps, videos, books, etc is nothing short of amazing. The case is also very cool, hardwood floor and stair case proof. For under $100 bucks this is perfect for tech savvy kids like mine.",7,481
23,2459,4,pos,"My stepkids are pretty rough on their toys and these have lasted pretty darn well so far. Easy to update and add games, apps and school related material. Go for it if you are looking for a pretty darn decent tablet for the lil ones",16,2024
24,2033,5,pos,My 3 year old got it for his birthday and he loves it!,16,3735
25,2562,5,pos,This amazon tablet is perfect for first time users. Easy to operate even for a 3 year old.,16,2279
26,3652,5,pos,I bought this item for my nephew and he loves it. I have the old version of the fire hd and I love it as well. It's way cheaper than buying an apple tablet. We haven't had any problems with it. Well worth your money,5,253
27,2918,5,pos,"he loved it was a great gift easy to use, small and great",16,1824
28,2823,4,pos,I really like it my complants is that it gives them to many choices that they try to pick all of the apps.,16,320
29,3945,5,pos,Very good tablet for the price economical and the ability to carry in backpack,5,1770
30,1574,1,pos,"Would not take a charge, good thing i tried before wrapping it for Christmas.",7,1493
31,2297,4,neu,"This tablet is small, compact and easy to handle. It's easy to figure out the main functions. My one complaint is that it does not support some big apps such as Dropbox or Google Drive.",6,1369
32,4015,5,pos,Bought it for my daughter and she loves it great product at a great price!,5,1983
33,2276,3,neg,meh. it works. i find it difficult to navigate. i also have an ipad mini. this seems to be less intuitive than the ipad.,6,3528
34,3467,4,pos,"The amazon kindle fire is a great reader on a budget. It has most of the basic functions of standard tablets(Ipad, galaxy tablets) at a fraction of the cost. It also has access to a huge amazon library of books.",5,2171
35,1943,5,pos,fits easily into my purse or bag. small compact!!!,4,3046
36,3612,5,neu,Grandson used a borrowed one at school. So now has his own .,5,757
37,3803,5,pos,I have ordered a couple of these for my family members and say that they work great and do everything that they are supposed too. Highly recommend.,5,1773
38,2028,5,pos,My granddaughter loves this tablet. Perfect for a 5 year old,16,65
39,3439,4,pos,Love this tablet easy to use and extremely affordable,5,586
40,3279,5,pos,I bought this device for my wife. She has been using a Kindle Fire 7.I wanted something with a bigger screen for her.She likes it very much.,8,526
41,4720,5,neu,this is my second one and must have one of these at all times,22,1643
42,2791,4,pos,"Purchased as a gift, perfect for small children! Easy to use especially for children's apps with the touch screen.",7,2320
43,4045,4,pos,"it would be nice to have full app library, but it does what you need",5,696
44,4710,4,neu,"This tablet is small, compact and easy to handle. It's easy to figure out the main functions. My one complaint is that it does not support some big apps such as Dropbox or Google Drive.",22,1369
45,2596,5,pos,Great product and great service from bestbuy online,7,1762
46,1650,5,pos,I purchased this as a gift for my mother. Her first tablet and she loves it. Easy for her to navigate.,4,2496
47,4022,4,pos,"It's easy and intuitive. The only criticism is that it should be easier to go right into an application, instead of watching an advertisement, then having to figure out how to exit it",5,1645
48,1892,5,pos,The kindle fire hd is a sweet tablet for reading and apps like netflix or hulu.,10,78
49,2587,4,pos,Bought as birthday present for grandson and he plays with it daily and with the case on it he hasn't broken it either.,7,269
50,3778,5,pos,"I have an LG tablet but picked up this one for my Dad and after messing with it for a while it's very nice,. I think I like it more the my LG g pad!",5,977
51,4730,3,pos,"Decent little tablet if you are not a game player. Tablet shuts down and I cant get it back on when I play games for long periods of time. It's not my ipad, that's for sure.",22,2588
52,1873,5,pos,I got this for my two grandsons (ages 2 & 4) for Christmas. They love them.,16,755
53,2304,5,pos,"Loved the Fire HD7 but the latest HD8 is sharper, faster and still handles great.",10,2476
54,4152,5,pos,I had a smaller version and this was easy to adjust to and use.,5,1929
55,2705,4,neu,No instructions on adding the memory card and how to move things to the card vs on internally.,7,2021
56,3248,5,pos,"I love this kindle! I had one of the first Fire HD kindles that is still kicking and awesome, but when I saw this in the store I just had to have it. I think it's more user friendly and feels like it offers so many more options and functions than the Fire HD I have. Not to mention it dwarfs my last kindle in size. If I had to make one complaint, it's that there is not an ""auto brightness"" function (or at least I haven't found it) and you can't make your pages a cream color rather than stark white. Both those options were easier on my eyes, but I am testing out the Blue Shade mode to see if that helps as much as it's supposed to with night time/ bed time reading. All in all, I am extremely happy with this purchase.",8,3154
57,4750,5,pos,"When you can get this thing on sale it's an amazing deal. Have all of your Amazon features right in your face. Books, Manga, Gaming, Amazon. It's easy to hold, has amazing battery life and has a pretty decent screen. Sure the Galaxy tablets have better specs, but it's the price and features you get from Amazon that make this device amazing!",22,3338
58,2725,4,neu,"While the Fire hd8 tablet certainly will not perform like some of the more expensive units, for basic web surfing, email, and especially shopping on Amazons web site, this tablet performs well, although it will occasionally freeze while surfing some sites. The screen resolution is what I would call 'adequate', but not on par with other high resolution (and far more expensive) tablets out there.Overall, I am pleased with this tablet-so far.",10,114
59,3786,3,neg,"Worse graphics, won't keep a wireless connection,overall not satisfied",5,3614
60,3424,5,neu,outstanding replacement tablet for my outdated and overpriced iPad 2,5,3678
61,3470,5,pos,We have been using our Kindle Fire 7 for years and it wore out. We looked at replacing it with another Fire 7 until I saw the Fire 8. The display is great and the weight is not that big of a difference.,5,1300
62,1568,5,pos,It has a great camera and I really enjoy my games and Facebook on this larger screen than my phone. I love not using my data up on my phone.,4,173
63,3726,5,neu,A great alternative to the more expensive tablets. Battery lasts for quite a while.,5,2915
64,3861,4,pos,This was a gift for a family member they really enjoy all the options of getting books,5,2182
65,2467,5,pos,I bought this for my daughter for Christmas. I could set her as a user and make it safe for her age. I downloaded books and apps with ease. I'm glad that she is loving her Fire.,4,1000
66,2983,5,pos,My daughter loves her kindle! Seems to keep her busy!!,16,288
67,2654,4,pos,"We bought this for our 3 year old daughter. Great variety of apps, books, and educational videos for her to explore. Love the features that allow us to control her time spent on it. My only complaint is that its processing speed is quite slow getting between different menus but at this price and for a 3-year old I can't complain too much.",7,2842
68,2219,3,pos,This device is a good if you are looking for a starter tablet for a young individual.,16,3237
69,4130,5,pos,Easy to use. Perfect for using for my clinicals in nursing school,5,3767
70,4068,5,neu,"Biting as a gift, my only concern was the size and the Amazon interface. It was easy enough to download the Google play store, so it was familiar to the user. Size was an initial concern, but it was just right to watch movies without being so cumbersome.",5,73
71,3661,5,pos,Gift for my mom and she had no problem learning to use.,5,2197
72,4903,5,pos,"The product was for my daughter, she loves it, and plays with it all of the time.",14,718
73,3265,3,neu,It is great for a bigger picture but runs really slow.,8,2564
74,4736,5,pos,We replaced and aging fire HDX. She noticed the WiFi connection is improved and the screen is larger. She prefers this to my iPad Air,22,1368
75,2790,4,pos,Tablet is easy for children to use and the battery lasts!,16,2819
76,2514,5,pos,"Great tablet, not for the power user. Average users will find everything they need.",4,1692
77,2771,5,pos,Picked this up for my two year old granddaughter. She loves it and its the first thing she picks up to play with. She can play a lot of the age appropriate games and can navigate around really easily. I even use it sometimes!,16,3161
78,2829,5,pos,"Great apps, excellent price, my kids really enjoy it",16,2607
79,4845,4,pos,Wanted something with a kids mode on it so we could limit time and content. This works. Saw it for a really low price so couldn't resist otherwise we would have gotten the padded kids version.,15,2333
80,4211,5,pos,Tablet is a great tool to use the world wide web and check email.,5,2678
81,2216,4,pos,I like that the tablet has child settings and time usage. Very helpful in setting time limits.,16,1463
82,1586,2,pos,"Can't really give a full review since the Kindle Fire seemed to work properly, however, the security, Webroot Anywhere, that was included was impossible to install. I tried calling Geek Squad 4 times for support and was disconnected EVERY time. I finally went to store for instructions which they printed off but still would not download. I've ended up buying an iPad which is fantastic and would not buy again from BestBuy.",4,2312
83,3683,4,pos,I got everything I need for personal use. A great value for a cheap price.,5,1198
84,2127,5,pos,My grand daughter loves it and so do her parents! Very durable. I'd highly recommend this product,7,2194
85,3300,5,pos,Easy to use wide variety of functions awesome price,8,1544
86,4853,5,pos,The size is just right for me to carry anywhere and it's simple to figure out the functions. 32 G would help me store many ireader books for a long time. I have read 3 books so far.,13,1773
87,3488,4,neu,"I love my Kindle for reading manga and comics. The fact that the graphics are worse than my phone detracts a little from the expirence, but serves to remind me that I cheaped out and bought yesterday's model. This is not a real negative, it just appeares less crisp than my phone. The increased picture size more than makes up for it in my book.",5,1318
88,4949,5,neu,bought it for my son. he likes it. very good alternate to expensive tables out there.,14,2331
89,2648,4,pos,"Great quality, great price and best of all has good sound.",10,1241
90,3674,1,neu,"was cheap, can not run chrome stuff, returned to store.",5,1272
91,4938,5,pos,Granddaughter loves it these was her upgrade for her birthday,14,5
92,2818,4,pos,This is my 2nd tablet and it works great with downloading,6,3354
93,1917,5,pos,This was the perfect gift for my grand kids they love it.,16,2792
94,2075,4,pos,Good and fast for kids does have very good control of parents on that,16,161
95,3610,4,pos,Tablet is good for beginners and those that like to read,5,1243
96,3466,5,pos,Works great!! Would recommend for anyone looking for a good product. Very kid friendly!,5,2049
97,1997,4,pos,It's nice but not as easy to switch profiles as I would like for it being a child's tablet. But overall easy to use just a lot of junk on main profile.,16,3348
98,4904,2,neg,The battery is having more and more trouble holding a charge. I bought the Fire in July and am now having to charge it every day in order to use it. I am not impressed and would not repurchase it.,14,2147
99,1591,5,pos,My daughter loved it . Best gift for the price it comes with way more then I could have expected,16,1479
100,1749,5,pos,This tablet is a nice budget friendly device that is also rugged. It has survived countless falls from my 3 yr old. He loves it and it keeps him learning for hours.,7,1804
101,2614,5,neu,I bought this for my granddaughter who is 2 and was able to load all the apps and books as well as her Disney movies. So far she has been unable to access anything that I don't want her to. And it has been able to withstand frequent toddler abuse.. Aka.. Throwing it. Definitely recommend.,16,3407
102,3548,4,pos,I bought four of these for my kids and they love them,5,1208
103,3257,4,pos,Good products and service and happy with Amazon Fire Tablet,8,3034
104,2336,5,pos,"Bought this tablet for our 2 year old. She loves to watch videos of nursery rhymes and Bubble Guppies. I can finally get some housework done without interruption. So user friendly, even a 2 year old can figure it out!",16,1273
105,3646,4,pos,"If you are looking for an entry level tablet, this is it.The Kindle fire HD is perfect for kids!",5,1149
106,3966,5,pos,My son loves his kindle fire. He uses it every day.,5,2801
107,3536,5,pos,Purchased due to reviews and in sale. So far easy to use.,5,3582
108,3782,5,pos,"this a great tablet, my grandaughter uses the kindle settings for her little girl who is in pre school",5,3441
109,2204,4,pos,Great tablet for the price. Add to that expandable memory and it's a great gift for the holidays.,7,1926
110,2775,5,neg,I purchase this tablet for my daughter's birthday and she absolutely loves it I am very pleased that she's not able to get online or to get on YouTube and watch crazy videos which she previously did with other tablets we have you actually get to pick the games and books to put on it you manage everything from the parent account and it is locked with your personal password and the kids can't get into it. I would say the only downfall is you cannot download anything from the Google Play store since it is an Amazon tablet.,16,2051
111,4729,5,pos,I purchased this Kindle Fire for my husband and he loves it. He had an older model which he loved but my dog accidentally broke it. This updated version has so many new features which he loves!,22,2679
112,2933,4,pos,"Love the case, table works very well, easy to download game and apps, but the life of the battery is not great. The battery fully charged only last about 3-4 hours",16,62
113,2814,5,pos,"I love that the kids can only do what you allow them to they can't get to the internet unless you put it on there profile which I don't because I have a four and 2 year old, there apps are very easily accessed and are big so they can b seen very well . also these tablets double and can b used as a regular tablet for grown ups",7,1517
114,2540,5,pos,Like it so much I gave them out as gifts for Christmas,4,2749
115,2142,5,neg,Bought this for a gift for some one who's old tablet won't work. Just the right size to play games on.,4,1827
116,4147,5,pos,I love my kindle fire it's is good for watching movies reading and anything you need a tablet for.,5,1133
117,4936,5,pos,Needed to replace the old Nook. Looked at the fire and was a little unsure. At this price though you get more than what you pay for. I travel alot for work and this has earned it's place in my travel bag. Well most of the time it's actually in my back pocket so I have quick access to it to get some reading done. For anything to be carried on my person during travel is high praise from me because that means it has value and importance.,14,637
118,1914,5,pos,"Bought 3 of these for my 4 year old, 6 year old and 9 year old. Perfect for all ages. I love the amazon free time year subscription and the content is very age appropriate. I also love the ability to set the time settings for them. It also works as a regular kindle if you decide not to renew the amazon free time after a year.",16,2017
119,2266,5,pos,We've had this tablet for about a month and have no complaints. Great tablet for a kid with lots of storage for games!,4,13
120,1688,4,pos,"I like the tablet; however, there are occasions when it does not boot up when it is turned on. I probably need to take it into the store so that a determination can be made and it can be fixed.",4,2076
121,2853,5,pos,Great tablet for kids to learn puzzles and letters. Has tons of activities for children and a full tablet for adults perfect if you have pime!,7,398
122,2816,5,pos,"My granddaughter like's her tablet, she has learning a lot.the case is durable and I was glad that the case came in pink.",16,3192
123,4859,5,pos,"She loves it, the only problem I have is getting it away from her, even while riding in vehicles. LOL",15,2759
124,2669,5,pos,Bought for my son for Easter. He loves it and easy for him to use. great for different apps for learning.,16,2470
125,2427,4,pos,He loves it. Helps him learn and teaches him how to count,16,2616
126,3978,5,pos,"Good picture, works well, great variety of apps. keep in mind that you get apps from amazon, not google play, so they aren't always the same or same price",5,3298
127,2523,4,pos,It needs the Internet to connect to your devices and play music. Sometimes you can be cut off. The rest of the time it is easy as can be.,16,2861
128,3910,5,neu,I previously had a nook that died and tried the Fire and I was hooked. Great price and lots of things to do,5,819
129,1966,5,pos,Great price! Kids love it. Lots of space for apps!,4,2366
130,1849,4,neu,"It's a good starter tablet, to bad it runs on the Amazon OS.",10,1530
131,4097,5,pos,"I have owned several kindles. I don't know what I do to them, but they tend to die rather quickly. Thank goodness for Best Buy's extra protection. The last two that quit on me were replaced quickly and effortlessly. Excellent customer service as well!",5,782
132,2937,5,pos,"Samsung Experience Professionals Jon, Neil and Tony were an ideal match for someone looking to upgrade to a new phone. The sales deal was unbelievable - $200 Best Buy card upon upgrade to a Galaxy 7 phone. The sales points that won my business were battery life and charging power. New phone can connect wireless charge without adapter. I am a very happy customer.",4,2204
133,4818,5,pos,"The clarity of the screen and the back-lit text makes this an improvement from my old tablet. I now can read this in low light and enjoy the color as well. I am enjoying my new Kindle, but it did present some challenges in its set up. I would recommend getting help in the store to get you started.",15,1567
134,1620,5,pos,"Great tablet for my 4 and 8 year old.... kid friendly, safe, and mom and dad enjoy it as well! Love that it comes in a protective case. Reasonably priced for a great tablet the kids love!",16,2356
135,4150,5,pos,"I recommend this tablet !!! I like it a lot , perfect size and perfect price",5,802
136,2846,5,pos,I bought this for reading/listening books. Love the availability to expand the memory. Now I can load movies and tons of books! :-),4,3449
137,3285,5,pos,My sister told me about the Kindle Fire and I wanted one so she said she bought hers from Best Buy.,8,1294
138,4950,5,pos,I've bought several kindles for my grandkids they all enjoy them we use it for the library and download into overdrive and there are so many free games kids love this,14,1044
139,3985,4,neu,Does the trick. This is a good tablet for the price.,5,2116
140,4804,5,pos,"If you love Amazon, you'll love the Kindle HD8. It's a great size for reading all those books, streaming movies and tv shows, and has great sound for listening to your favorite music. For less than $100, you can't beat the versatility of this little device!",13,3326
141,2984,5,pos,works great for my 2 year old. I don't like that it requires a pin to use it but goodidn't and strong tablet,16,95
142,4210,5,pos,Bought it for my husband and he loves it. This is perfect for what he wanted it for.,5,1793
143,4121,4,pos,Not a huge fan of products that aren't Apple but this one is good. Haven't had any problems with them at all.,5,1781
144,4846,5,neu,this is my second one and must have one of these at all times,13,1643
145,3217,5,pos,Very satisfied. Use it daily while watching TV and other activites,8,460
146,4144,5,pos,I got this mainly to watch tv/movies. Battery life is best of all devices I have used to date.,5,67
147,4760,5,pos,this tablet is great for reading the text is not a good as it is on my tab s2 9.7 in but this is about $200 cheaper i got it because i wanted a more natural book feel reading my books and the tab s2 was not doing it for me,22,1805
148,1768,5,pos,My daughter loves it. She loves the books that she can read.,4,2336
149,1960,3,pos,"Wish it was a bit faster loading and browsing, but functions as you would expect for kid friendly product. I would spend the extra money next time for a tablet designed for adults but had strong parental controls",7,1959
150,1921,5,pos,was a great purchase. loved the color and the camera feature,4,3522
151,4188,5,pos,"Purchased this a couple of weeks ago, no complaints so far. Web pages load pretty quickly on the Silk browser, and the battery life is excellent. After installing Google Play Store (it's really easy!) even more apps are available. Can't beat this for under a hundred dollars!!!",5,2959
152,1642,5,pos,is very good product and the difiitioin is very good thanks,4,2034
153,2077,5,pos,"I have bought the cheaper tablets for my kids, in the past, however, the sales associate recommend this tablet, and it was only 10 dollars more. So far, I am really impressed by the difference in quality.",4,2227
154,3771,5,pos,Be sure to join Amazon Prime and have access to lots of free reading downloads,5,33
155,4749,4,pos,"This is my first Fire Kindle. I love it. It is fast, and has good internet. It gives me quick access to all my Kindle library. I found out it's easier to scroll through the pages than when using Kindle Touch.",22,3033
156,4868,5,pos,I bought this as an affordable alternative to the iPad mini. I liked the expandable storage option and size. Super easy to use. Unfortunately granddaughter wanted and iPad mini to go with her other apple products. So I ended up returning it. In hindsight I should've kept it for myself.,15,3582
157,4722,5,pos,"I love the internet, tweeting and facebook. No computers can complete me!! My kindle takes care of all my needs ;) !!!Juju",22,253
158,3990,5,pos,"Easy, fast and efficient.great lil tablet in this price range for anyone.",5,3371
159,3288,5,neu,Want a port for addition memory this model had it!,8,756
160,2613,5,pos,My 2yr old daughter loves it! Perfect Xmas gift!,16,1049
161,3569,5,pos,My wife loves her Fire Hd8 she had one of the older models so i up graded her to this new model and she feel in love with it right away,5,2852
162,2460,5,pos,So I was given a HD for Christmas and when this went on sale in time for Father's Day I had to get it... Love that it has the expansion slot!!!,4,1303
163,1937,3,pos,"When I first bought it and got it started it wouldn't register my amazon account. I tried making a new account and I tried using my moms account but it would not work so I took it back and had geek squad look at it and they claimed it was defective and exchanged it for another one and the new one works wonderfully, haven't had any issues with it yet.",4,106
164,4813,5,pos,"She loves it, the only problem I have is getting it away from her, even while riding in vehicles. LOL",13,2759
165,4029,5,pos,Purchased this for my nephew. He loved it and can't stop playing with it.,5,1653
166,4105,5,pos,"I bought this as a light-weight alternative to an iPad for collecting and enjoying Kindle and Amazon Video products. When combined with the dedicated Fire cover, it's low price along with a very readable screen and the option for a Micro SD card make it an excellent choice for travel and time spent in waiting-rooms, etc., allowing lots of memory space for ones library as well as flexibility regarding how it is held or positioned.",5,3606
167,2281,3,pos,"I'm a big fan of Amazon and their products, but this tablet is just ok. The build quality is great and the image is very good, but the software is mediocre at best. Worth the price.",7,1820
168,2892,4,pos,My 2 years old daughter really likes it. It's friendly and easy to use.,16,2753
169,4005,5,pos,Great for those who love to read this tablet is always ready for on the go trips,5,943
170,4886,4,pos,I've love kindles for years and was looking for a bit larger reading area. That is what I got and more. I very satisfied EXCEPT it just goes blank repeatedly and for no apparent reason stay on and I am back to satisfaction.,15,840
171,3876,5,pos,Perfect size for me. Speaker clarity is amazing and produces a great picture,5,1103
172,3920,5,pos,Purchased for 4 yr old granddaughter who primarily uses for Netflix. Works great!,5,454
173,3740,5,pos,"Affordable and kid friendly. My kids watch videos and play games on these a lot. Lots of apps, games and books to choose from!",5,1512
174,3325,5,pos,makes reading easier and more enjoyable in that I can see a whole page at one time. The protective cover that Best Buy sell was a disappointment in that it covered the On/Off switch and did not hold the tablet very well so that I had to find another cover from another source.,8,1705
175,2952,5,pos,I purchased these tablets for my grandchildren after purchasing 1 for another grandchild in October. They love them and their parents love being able to dictate how they use them.,7,3511
176,4963,5,pos,fits easily into my purse or bag. small compact!!!,14,3046
177,2299,5,pos,"The Fire tablet is great, we just bought our second. It's screen is pleanty big enough to see, but small enough to fit in my jacket pocket.",4,959
178,2397,5,pos,"I purchased this tablet for my 10 year old son and he loves it. Great for movies, games and reading books online. Definetly would recommend it as a starter tablet for young children. The hard protective cover is a plus.",16,3294
179,2588,4,neu,The kindle over all is great. There's only one thing I would want better and that is the speaker. My last kindle was louder. I really miss the louder speaker.,6,2754
180,2942,5,pos,Great product easy to use. My niece loves it won't put it down.,16,1280
181,3601,5,pos,Had a great experience with my Best Buy rep! Great Job!,5,2490
182,2798,4,pos,This is a great little tablet for my son. It is easy for him to navigate through and it also has parental controls . I can control how long he uses it and what he reads.,4,3428
183,3286,5,neg,Sales guy didn't have much knowledge about the Kindle. He wasn't very helpful in getting me started.,8,3145
184,2810,4,neu,"It's was on sale on this color,put the play store and made it real Android tablet",4,156
185,3854,5,neu,For the price the tablet can not be beat. I use this over my ipads that i have. There is nothing i cant do with this tablet,5,2032
186,2645,5,pos,Out of the box this was easy to set up and even easier to use,4,1845
187,1913,1,neu,It takes forever to download apps. I'm returning it will be getting something else.,16,2380
188,4077,5,pos,"I would like to say this is my best tablet I have ever buy till now. I will rate it more then iPad Mini. Its best with battery, wifi, touchscreen, sound etc. I had other tablet for my kids earlier, but after having fire hd8, I will not recommend or like to go for any other brand in future. You can't get such good quality product in such less price. I am really very happy on my right decision to choose fire hd8 for my family and kids.",5,3722
189,2445,4,neu,Does a lot more than old tablet.It Hasmore memory.,6,3290
190,4179,5,neg,This tablet is not only a great price but exactly what I needed for quick Internet access and to download books !,5,1581
191,3553,4,pos,Bought for my son as a birthday gift and as a way to not wear out his laptop. Works great especially for videos and general online use.,5,1525
192,2006,5,pos,This was a great tablet for the price for my wife. Perfect size and good for traveling.,4,617
193,4206,5,neu,"This is our 2nd one, my wife was using my most of the time, so I got her one.",5,3469
194,3232,4,pos,Nice size works fine needs to weigh a little less.,8,1494
195,4983,5,pos,Bought this to use on my travels. comes in handy surfing the web.,14,2332
196,2584,5,pos,This kids fire tablet is perfect for our 5 year old granddaughter. We downloaded some free and purchase kids apps. It give us a break as she's not always asking for our tablet. And we know the content on it is safe.,16,1743
197,2889,4,pos,I thought it would be good for my 2year old he does awesome on a iPad but could not get the hang of the kindle fire,7,2792
198,3687,5,pos,Inexpensive tablet. Funtional and great for reading. It has the blue screen that make it great for reading.,5,982
199,1607,5,pos,Kid proof and works well!! There are plenty of apps too!,16,2882
200,4151,3,neu,upgraded my 3 year old kindle- same old. doesnt seem that great of a difference. the graphical interface still sucks but its decent for reading.,5,845
201,2910,5,pos,I bought this as a gift for my grandkids. They absolutely love it!,7,3229
202,2710,1,neu,I I thought the buy For my child bc the kids mode but it was very poor,4,1937
203,4892,5,pos,I am really enjoying my new kindle fire hd 8. The picture is awesome even for a movie. I use it mostly to read with an occasional game or movie too. Colors are great and the size of the screen is very nice. I have a 7 inch fire and there is enough size difference for movies etc to make it worthwhile. Plus there was a great black Friday price.,15,2739
204,1754,5,pos,Bought this for my 5 yr old grandson. Great buy for the price. He loves his new tablet.,7,3562
205,3844,5,pos,"works great for us for video calling, for kids watching videos",5,3457
206,2147,5,pos,I purchased it for my dad (70)He needed something easy to use. He really enjoys it.,10,559
207,2411,3,pos,"These are great tablets for the kids and the price is wonderful with the warranty and the soft, yet bulky (a good thing in this instance) case. The only thing I wish, was that it could access the Google Play Store so my kids could watch the movies we have in our Google Play Movies account.",16,824
208,2155,4,neu,Looking for a reader with some basic tablet functions. This was just that.,4,3242
209,2132,5,pos,My granddaughter loves her tablet toddler friendly,16,3170
210,4111,4,pos,Bought this for my 9 year old Godson and he loves it. He would play it for hours on end if his parents would let him. He mostly plays games on it but he also uses it to watch videos and read books.,5,1294
211,2230,5,pos,"We love this , so many apps that you can download for free easy to maneuver she will be able to grow with this",16,888
212,3332,4,pos,Employees were very helpful. I always enjoy shopping at Best Buy.,8,3627
213,4714,5,neu,My grandkids play on my smaller one. Thought I better get a back up for me.,22,2729
214,3675,5,neg,Love this tablet. Power lasts long. Short charge time. HD screen is really clear. Only con is that there are some apps not available like Google play. Very satified. Have a 128gb card in mine . Plenty of space for downloads. The camera has no flash and is not the best but I didnt buy this tablet for that. High recommend the HD tablet 8gb amazon fire. You want go wrong.,5,24
215,2052,4,pos,"This is a great entry level tablet. It does not have all of the bells and whistles of more expensive tablets, however, at its price point the specs are quite impressive. This is an easy purchase for a small sized tablet or for a child. It is powerful enough and the screen quality is good enough. Overall, I highly recommend it.",4,969
216,4124,5,neu,I didn't actually use as I bought for a gift. My grandson already had one so we returned for a pair if 3-d goggles.,5,328
217,4830,4,pos,"Bought as gift for my granddaughter who is 10. She loves it. Plays games, watches videos and listens to music.",13,3792
218,2181,5,neu,"Amazon keeps getting better. Tablet now has option to move icons, set wallpaper and more. With added SD card option, is even better.",4,2081
219,3841,5,pos,"I am very satisfied with this tablet. I use it for browsing because the screen is larger than my phone. Caught it on sale and bought two. Good value for the money. It was recommended by a friend. Get a case for it, it is easier to hold on to. The second one will make a nice gift.",5,2210
220,2089,3,neg,"I was not a fan of the Amazon type operating system that is on the tablet. Ended up taking it back because it was not what I wanted, not as easy and supportive of games and apps as an Android tablet.",4,158
221,4133,5,pos,Purchased these for my grandkids...and they absolutely love them. They can play play their games to their hearts' content. They ar ed really fast too.,5,2704
222,1725,5,pos,My kids love their tablets. They play games and take pictures.,16,3125
223,3315,5,neu,"Second kindle I use it for reading,games,internet,and shopping",8,2883
224,4185,4,pos,Have been pleased with my purchase of the Fire HD8 as it's video quality is great when viewing ESPN3/Netflix/YouTube Tutorials.The ability to easily load and read my saved textbooks within the Amazon Kindle App is fantastic for a fraction of the price for an IPAD. : ),5,630
225,3988,5,pos,I love the fact that is very practical and I didn't have to spend a lot of money.,5,1067
226,3904,5,pos,Now I want one. My older son wants one to. Keep of the good work.,5,1806
227,4943,4,neu,It's a fine tablet for the price the only problem I have with theach kids mode it's not what I was thought it's going to be I returned it back just be of this reason,14,3329
228,2845,5,pos,I bought these for my five and six-year-olds and they love the games and educational apps that come with it loaded from Amazon prime for free for a whole year. Great value for the money I will be referring this product to all of my friends.,7,2773
