,reviewId,rating,testimony,itemId,userId
17,17,4,Item work well and was easy to read from in day light,19,3526
18,18,5,Great product and service will refer to a friend. And the sales man r good,19,2902
19,19,4,Everything is great except that i can't read external pdfs properly. Either it zooms too much of too little. For kindle books it provides great experience. Battery life is awesome!,19,2964
20,20,1,"I was looking for a kindle whitepaper. I saw online for $80. What a deal. I ordered it on line and picked it up in the store. I got it home and couldn't adjust the brightness. After a lengthy time with online customer service I called customer service. After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it. Although it looks Identical to the $120 model, you can not adjust the brightness. That would have been good information before I bought it.",19,1236
21,21,4,This is a nice bare-bones reading device. Easy to set up and use. My greatest issue is that it isn't back lit so it can't be used w/o a light on in the room. Returning it an purchasing a paperwhite instead.,19,1839
22,22,5,"Easy to use and navigate, purchasing books is fast and simple and I love the fact that I can password protect this device",19,2956
23,23,4,The Amazon Kindle is light weight and easy to use.,19,1971
24,24,4,"I love hear readers, I had to replace mine because I destroyed the last, but it is awesome",19,2781
25,25,5,Love the simplicity. Also love that I use it for reading only and can't download distracting apps.,19,3742
26,26,5,My husband loves this Kindle. He has a muscular disease keeping him from being able to handle anything with much weight at all. This is perfect.,19,1078
27,27,5,I've wanted a kindle for a while and decided to get it when BB put it on sale. I am not disappointed.,19,1514
28,28,5,I have several Kindles so knew what to expect. It is a great reading device and I keep several in different locations.,19,3191
29,29,4,"I like this e reader, but wish the screen were higher resolution. It requires decent light to look good, but it is easy on my eyes. The screen updates involve flashing the whole screen, which I noticed less over time. The advertised month long battery life is just standby time, it lasts much less if you are downloading and reading books.",19,2022
30,30,4,My fiancée really enjoyes it! I would definitely recommend.,19,443
31,31,4,"Simple, great buy for your money if you are an avid reader.",19,2084
32,32,4,I like the changes that have been made since my current 4 year old unit was purchased,19,2221
33,33,5,Fits nicely in your hand and its touchable. increase the size of the fonts,19,848
34,34,4,"Great buy, do a lot of reading and he no glear screen is awesome while in the sun.",19,2343
35,35,4,I lie the size and weight for the kindle-makes it very convenient to take large books with me in digital format.,19,2798
36,36,5,Great price and works great for book reading. Would recommend,19,3042
37,37,5,Got it when it was on sale. Totally fall in love with it. Bring with it me everywhere.,19,1298
38,38,5,I never used kindle before. My wife gifted me on my birthday. This is the amazing product. I am using it for daily reading. The display is fantastic and no strain on eyes.,19,3607
39,39,5,I bought this with paper white and didn’t see much of a difference in terms of resolution and use. I totally recommend this reader as it’s so small and powerful!,19,2059
40,40,5,The sales people are really nice and knowledgeable to me I will come back again,19,2902
41,41,5,I'm a longtime Kindle user and jumped at the opportunity to bring my granddaughter into the fold with this gift. She loved it!,19,3774
42,42,5,"Overall good product, does what is advertised, comfortable to use.",19,81
43,43,5,"The kindle has come in very handy lately, I always have a book to read and this is great to just grab on the go. Battery life is great, only drawback is no backlight.",19,1688
44,44,4,"I am loving my new Kindle! I have wanted one for a while and finally bought one, and even though it was the cheapest one, it has exceeded my expectations. I love how there is no glare.",19,439
45,45,5,"I already has an older version of the Kindle, but this one is even better. I love the touch screen and the ability to scroll without buttons.",19,2171
46,46,4,"Bought this for my 90+ year-old, totally no-tech mom. Her first e-book is Gone with the Wind. She likes the size and ease of use.",19,269
47,47,5,"Amazon kindle products have always been reliable, consistent quality and this is no different. Very happy with it.",19,3726
48,48,4,working well and very cheap if we think in the price way,19,509
49,49,4,"The battery doesn't last as long as was advertised, if you have the money I would recommend the backlit model.",19,3176
50,50,5,"This Kindle doesn't have a lighted screen like the pricier models but it has a higher dpi screen than the lower model. It's exactly what I needed, nothing more, nothing less. I've had no problems with the reader at all so far so I'll give it 5 stars.",19,2880
51,51,3,The kindle is good to download apps for books catch up with reading,19,3814
52,52,4,"After the first one stopped working after only 3 weeks-best Buy replaced it with no fuss and it's going great. Small, lightweight (so fits in a purse/handbag) and with the anti-glare screen you can read in direct sunlight",19,3405
53,53,5,"I bought this Kindle Paperwhite for my son to use at school, instead of his more expensive and delicate tablet. The display options make it adaptable for just about anyone, and is much easier on the eyes when reading for an extended period of time. Please keep in mind that this does not have a glowlight. The Kindle is durable, and although I bought a case for it, a case really isnt necessary if you are relatively careful with it. The most surprising thing about this has been the extra long battery life. My son is an avid reader, and noticed that he needs to charge his Kindle considerably less than when he uses his tablet.",19,217
54,54,5,"Great item, easy to use,would recommend to anybody want to use!",19,2032
55,55,5,I bought this as a gift to my dad and he loves it. Well worth if you dont plan on reading in dark.,19,1181
56,56,5,the future of reading you just have this and it is like a whole library,19,263
57,57,5,"I bought this for my daughter, wanting to get her a kindle without having access to games (like with the kindle fire). This latest version of the kindle is excellent. I am jealous of my daughter and now am thinking about upgrading from my older kindle. The touchscreen is responsive. If you like reading on the kindle, it is worth the update.",19,2875
58,58,5,"This is a great way to read books on the go. There's no backlight, so reading in darker rooms may be hard. But it's affordable and portable and a great way to take all your books with you.",19,2368
59,59,5,"I love the Kindle, it is a great product. It reduces eye strain so I enjoy reading on it. This is my second Kindle.",19,1095
60,60,4,i bought this as a backup. I am currently using the same headphone.,19,989
61,61,5,"We got the Kindle for our daughter who accompanied us to try out the two Kindle models. We were willing to buy either one and we assumed she would want the more expensive one with the backlighting feature. But as she tried both, she gravitated with certainty toward the basic model. ""Why would U want to read in the dark?"" She said. As the weeks and months have gone by, she says she's completely happy with the basic Kindle, it's exactly what she wanted. Perfect.",19,442
62,62,4,"Good, able to read under bright sunlight conditions too",19,1871
63,63,5,Very easy to handle. many books to choose from and very convenient,19,3511
64,64,5,I purchased this product because I love to read and buying books got costly. With this product I can read all I want for 10.00 a month,19,626
65,65,5,it is smaller than i thought but it gets the job done.,19,3483
66,66,5,"Love my new Kindle! I hadn't read in a while and hesitant of a kindle, easy to use, lightweight and convenient to pick up a book. great for outdoor reading. only downside is if you want to read in the dark has no back light. crisp clear text and easy to set up.",19,1401
67,67,5,"Product is good, light. Amazing battery backup. I charge the Kindle one in 4 weeks. Great product for reasonable price. USB connection is easy, Books are easy to download. Overall, everyone must have Kindle with them and this is the best product/model to start with.Understandably, this is the beginner level model for people who never used Kindle before. Features like LED lights, White paper background are not available on this model. These features are there on higher models so one cannot read it in Dark without lights. But again, for this price you would not get any other good readers.If you are someone who reads in dark then I would suggest go for Higher Kindle models.",19,716
68,68,5,Kindle is the perfect E-reader. Easy to use and size is perfect to bring 'book' on the go.,19,3306
69,69,4,Easy to use and it arrived exactly as described. Good beginner device for youngsters who want a device to read from.,19,3714
70,70,1,Looking at the picture and seeing it was 8th generation I assumed it would be a great device. I had an original Kindle but I stopped using it because it wasn't backlit. I thought an 8th generation would be backlit and the picture makes it look backlit but it is not. After 25 minutes on the phone with Amazon trying to make it brighter the technician finally realized that 8th generation is not supported with backlights. I took it back to Target and purchased The Paperwhite which was more money but definitely worth it. The 8th generation one is smaller so I assumed that was the reason for the price difference. Target made the experience pleasant.,19,2570
71,71,4,My fiance really enjoyes it! I would definitely recommend.,19,443
72,72,3,"For me, the Kindle Black was not a good fit for me. There are times I read at night in bed when my husband is sleeping. This model doesn't have a back light so I'm unable to read at night without turning on a light and waking up my husband.So I returned and went for a Kindle Fire.",19,880
73,73,5,"It is still the best device for buying books and reading them. However, go with kindle paperwhite if you read books in dark places.",19,1779
74,74,5,Great product and service and the sales man r really nice.,19,2902
75,75,4,"When you first turn on the kindle, the home screen does not make it easy to determine exactly how to open up and read a downloaded book.",19,1003
76,76,5,"My wife loves it, replaces a Kindle from like 2003.",19,835
77,77,4,"It's small, light, and easy to read from. I just wish I would have spent the extra 30 bucks and got the paperwhite. The more i use this one the more I wish I had the option of a backlight. If you're on the fence as I was, go with the paperwhite! However if the backlight is not an issue, this device is great and I would recommend it.",19,2294
78,78,3,This device is good for entry level reader only in daylight.Its doesnot support reading in dark. To read in dark you will have to purchase a light or cover case with light attached. I either case it will put a lot of strain in your eyes.,19,2455
79,79,4,"I love my new Kindle. The size is perfect. It fits right in my purse. Easy to navigate and I love the touch screen. I am able to read outside without a glare. Only flaw is that it is not backlit, so in order to read in the dark I need a book light. I don't mind that so much, I just wish kindle would come out with a case for this Kindle with a built in book light like they did for the first generation Kindle.",19,2173
80,80,2,it would not load my books proper. took a dozen tries erasing an dreregistering. screen too dark,19,2330
81,81,5,"I bought this for my daughter. It is our 4th Kindle bought within the family. The touchscreen is great and my daughter loves it. In fact, those of us with older model Kindles are jealous.",19,2875
82,82,3,"This is a pretty cool little device. Im able to download books through wireless and read them later at my convenience. Only drawback is I wish it had more storage. But for the price, it works good.",19,1523
83,83,5,Exactly what I was looking for size wise and functional.,19,1638
84,84,4,"As always, great job! Very easy to use and it's always with me. Only problem I have is the button on the bottom is touchy, but not really an issue. Keep up the good work",19,2177
85,85,4,"I especially like the Amazon has a system to convert pdf to kindle format. Some of the things I read (journal articles) are in pdf format and I can email them to my kindle email and it shows up on my kindle with kindle format (larger text). You can find your kindel email at your account information. Only thing, I would have like a screen little larger.",19,3625
86,86,5,Im happy to have it. Very comfortable and easy to use every where,19,1946
87,87,4,"This is my eighth Kindle. Some others were either lost or screen-damaged. I bought it as a spare. Current model is better looking than earlier versions (white case), sturdier, and has an improved screen. Great price also; wish I'd bought two.",19,2695
88,88,5,My nephew is going to college next year and we want to give him a gift. Kindle suits it well for him to learn and study.,19,2063
89,89,5,Excellent lightweight way to take a lot of reading materials along when traveling.,19,1369
90,90,4,"I love my Kindle! I'm back to reading so much more often as I always have several books with me at all times! At first it surprised me that this version doesn't have a back light and you need a light to read, but I actually like it now as I don't get the eye strain like I do when using my phone.",19,2062
91,91,3,"I love having real books, but these are great for travel and keeping your bookshelves lighter. I wish you could buy them with larger storage without having to buy the larger size pad. It also sucks that they are 4gig, but 1gig is taken up by the OS and advertising. Seriously? It reads PDFs and needs a 1 gig OS. Lame. The last thing I would change is being able to reverse the lettering so at night you could have white lettering and a black background, so it's less bright on the eyes.",19,2340
92,92,5,It's a perfect gift for young adult during the holiday session.,19,2148
93,93,2,"The screen is too dark, and cannot adjust the brightness",19,1018
94,94,5,I should have purchased a kindle sooner. It's easy to use and I love it!,19,2174
95,95,5,This was purchased as a gift and they've absolutely loved it.,19,3281
1466,1560,5,My gf loved it and uses it all the time. She gets books she wanted to follow up on,9,3512
1475,1571,5,My husband loves this Kindle. He has a muscular disease keeping him from being able to handle anything with much weight at all. This is perfect.,9,1078
1482,1578,4,"UI is not smooth, it flickers sometimes. Overall a thumbs up from me",9,2497
1498,1596,4,My fiancée really enjoyes it! I would definitely recommend.,9,443
1503,1601,5,"I replaced my kindle that I had for 4 years with the new one and after a short time was able to access all my books and continue reading the book that I was reading before I bought the new kindle. I am pleased with the new touch screen for moving to the next page, like that this one is smaller and easier to take in my purse. I did purchase a case and it is protective and durable. I will enjoy this kindle for years to come",9,2315
1511,1609,4,Had problem with cutting off device. Good easy read,9,1464
1513,1611,5,This was a purchase made for a cruise. I could not see my fire in the sun.,9,1479
1516,1614,5,Love my kindle ! I enjoy reading everyday and I can easily throw in my bag with out it adding any weight .,9,3684
1527,1626,4,"This is my second Kindle and I love it! It's so convenient to be able to carry around hundreds of books without the bulk and weight of literally carrying around hundreds of books. I just wish I could have bought accessories at Best Buy. Also, the sales rep knew nothing about the devices and had to 'Goggle' info on her phone.",9,3
1530,1629,4,"Easy to figure out and I like the paperwhite because it doesn’t strain your eyes and you can adjust the size of the font. Bought one for my mom too and she loves it. The only con is the touch sensitivity could be better, but not bad for $60 on sale",9,2457
1531,1630,4,I like the contrast it is easy to read on outside.,9,461
1570,1672,5,Exactly what I was looking for size wise and functional.,9,1638
1571,1673,5,Fits nicely in your hand and its touchable. increase the size of the fonts,9,848
1586,1689,5,"The kindle has come in very handy lately, I always have a book to read and this is great to just grab on the go. Battery life is great, only drawback is no backlight.",9,1688
1590,1693,5,If you want to read anytime where there's a light source this is thereafter for you. If you do a lot of night reading the paper white is cheaper considering the add kns you will have to buy for the base model.,9,3762
1607,1712,5,Love not having to carry books and being able to get a variety of books.,9,227
1613,1718,5,My nephew is going to college next year and we want to give him a gift. Kindle suits it well for him to learn and study.,9,2063
1618,1723,5,This is a great product and i would recommend it to anyone that enjoys reading.,9,758
1628,1733,5,I can download my pdf file and read in this kindle. I am satisfied with the performance.,9,2743
1631,1736,5,"My wife loves to read, but she was always hesitant to try ebooks. She used to think that ebooks could never have the same tactile feel as a physical book. I talked her into it by telling her its lighter, easier to hold, can hold thousands of books and if she hated it we can return it. But she loves ebooks now and doesnt want to go back. She also found out that Amazon has a lot of books which cost nothing, namely classics and such...I think. If you like to read in the dark then get the paperwhite version. The LED's are a nice touch.",9,3302
1634,1739,5,I am very pleased with this purchase. It is lightweight and the smaller size enables me to carry it easily. This Kindle allows me to read out in the sun without any glare. The only suggested improvement would be a lighted display to enable reading at night.,9,1419
1658,1764,4,This kindle allows me to download several books. It easily fits in a purse and is light weight,9,3569
1660,1766,5,Got it to gift to my friend. Absolutely loved it. Good value.,9,690
1669,1775,4,"I purchased this as a replacement for my older Kindle. It is excellent as always but I also noticed very little new features or updates since my last Kindle model. Would have liked some more design, form factor, or feature changes. That being said, it fits the bill and is amazingly light, so I have no other complaints.",9,2701
1672,1778,5,I purchased this product because I love to read and buying books got costly. With this product I can read all I want for 10.00 a month,9,626
1681,1787,5,This is a great product. Light weight. I wish it has wifi to download from online.,9,2872
1686,1793,4,Great product and reasonable price! Suitable for everyday use,9,2807
1690,1797,4,This was purchased as a replacement for one that was dropped one to many times. Hope this one lasts as long and stands up to the abuse the first one endured.,9,766
1691,1798,4,Nice and convenient just wish that it came with written directions so that I could brighten up the screen.,9,3783
1694,1801,4,"This is my eighth Kindle. Some others were either lost or screen-damaged. I bought it as a spare. Current model is better looking than earlier versions (white case), sturdier, and has an improved screen. Great price also; wish I'd bought two.",9,2695
1723,1830,5,It very convenient it small and it work awesome can put in my purse or,9,2524
1726,1833,4,"Bought this for my 90+ year-old, totally no-tech mom. Her first e-book is Gone with the Wind. She likes the size and ease of use.",9,269
1729,1836,5,"Nice deal, and good stuff. will recommend to others if same deal",9,604
1736,1844,5,"Not the paperwhite, but for the price I paid works great for my kids to carry around multiple books they need to read for school",9,2545
1737,1845,4,I bought this for my son's girlfriend as a gift. She really likes it and has positive words.,9,3143
1745,1853,5,I'm an avid reader. The Kindle is my go to for ease. It fits in my purse or knitting bag and stays charged for days.,9,3248
1749,1857,4,This devices is great for storing all my amazon books. It is also very light and portable. Simple to use as well.,9,3657
1751,1859,3,The kindle is good to download apps for books catch up with reading,9,3814
1763,1871,5,I had the 4th generation. I am quite happy with the upgrade. Good battery life,9,382
1777,1885,4,Good features and quality. Would be nice if it worked better in low light. Should have stepped up for the backlit one. This is nice if your conditions are bright.,9,3117
1780,1888,5,Great price and works great for book reading. Would recommend,9,3042
1788,1896,4,I bought my Kindle about 2 months ago and the battery is already dead and will not charge,9,3388
1789,1897,4,This little device is great for it price. Lots of features.,9,372
1810,1919,3,This was my second kindle and I didn't realize that it wasn't paper white . What a difference. I took this back to the store and exchanged for paper white.. this was not easy to read for me,9,1546
1825,1936,5,"I prefer the Kindle to a book. I like the change of letter size, storing many, many books, and the ease of carrying it. I love to read when I travel, and this is the way to go.",9,868
1828,1939,4,"I love my new Kindle. The size is perfect. It fits right in my purse. Easy to navigate and I love the touch screen. I am able to read outside without a glare. Only flaw is that it is not backlit, so in order to read in the dark I need a book light. I don't mind that so much, I just wish kindle would come out with a case for this Kindle with a built in book light like they did for the first generation Kindle.",9,2173
1835,1946,5,No suprises here. I have owned the 7th generation Kindle before and the 8th generation came as a lighter and better upgrade to the version. Great functionality and awesome reading experience.,9,1564
1839,1950,5,"I haven't used any other kindle before, but this kindle was made to do its job and it does it properly. It is sleek, lightweight and sturdy. I love putting it in my bag and taking it with me wherever I go - just in case I get a chance to read. Like it says in the description, you can download books and read it anywhere - you don't need wifi to read. Battery life is great. It has a matted screen and you can make the font as big or as small as you want. The down side is that the screen is small, so you can only get through so much before you have to flip the screen. Also there is no brightness controller for the screen so you can only read it where it's light. But I honestly love my kindle, it does it's job and I don't want anything that get's fancier than this.",9,756
1853,1964,5,The Kindle is great for reading on the go when I can't carry around a lot of books.,9,3167
1856,1967,3,"Very small in size, not exactly what I had thought but yet good product for the price I paid",9,338
1872,1983,5,Great product for myself! And I bought it when there was great deal on it!,9,2607
1879,1991,5,This e-reader meets all expectations and has a good feel to it.,9,3776
1931,2048,4,"Got it as a gift for my dad, so far so good.Didn't not realise the special offers are ads, spend more money to buy the one with out them.Also hate the fact they removed the wwan connection, you now need wifi to connect to the store.",9,2447
1940,2057,5,This kindle is amazing and better than prior versions.,9,1150
1941,2058,5,"i love my kindle ..i read on a plane or at the pool, works in different lighting and angles",9,2627
1955,2072,5,"I love to read but don't have the space to keep a collection of books. For me, this Kindle is the best of both worlds. I can enjoy reading a good book without having to find shelf space to store it later.",9,533
1975,2093,5,"I was very impressed with the functionality of my Amazon Echo. Very useful to have around the house and for the discounted price, it a steal!",9,150
1983,2101,5,I particularly like the fact that the text shows up and you can see it well outside on a sunny day. I use it with Kindle Unlimited.,9,306
1990,2108,4,This was a gift for my girlfriend. She loved due to the fact that it was small and compacted ..,9,1503
1995,2113,5,I bought this for my mom. The type is adjustable and it has a backlight for easy reading !,9,474
2018,2136,4,"This is really good if you read a lot, doesn't strain your eyes and very light weight. Only demerit is - cant use in night if there is not enough light.",9,3048
2030,2148,5,Very easy basic e book reader. Good for beginners to start,9,2245
2034,2154,4,"The Kindle 8 is an inexpensive eReader that does what I need in the smallest, thinnest, lightest package. I want it for travel and portable convenience when a full-size tablet is too big and heavy. It's perfect.",9,1911
2068,2189,4,"This is the perfect reader. Price is great, it's easy on your eyes. Battery lasts longer than a tablet.",9,441
2079,2200,5,"It's exactly what you'd think it would be. No more, no less...a perfect e-reader for traveling and backpacking.",9,633
2102,2223,5,I love my new e-reader!! I am enjoying all my books in one place.,9,1721
2107,2228,5,"I love my Kindle black. I can read for hours without making my eyes sore the way a phone screen would. The functions are easy to use. Everything is set up clearly and simply. It's shape is adorable, and it's surprisingly light. The battery does last a long time.",9,1132
2114,2236,4,Reminded my son and I of his old early generation Kindle that worked so well.,9,3280
2124,2246,5,"What can I say, if you enjoy books and magazines it's hard to beat. Not backlit but not an issue for me. I take it everywhere and enjoy this version very much.",9,2917
2127,2249,4,I liked my really old one a bit better. It broke after 5 years suddenly. The screen failed. I had to pay over 20 bucks extra to get rid of the ads to Amazon. I wasn't aware of this when I first bought so it was more expensive than expected.,9,1251
2160,2282,5,"Do you like to read? If so this is an excellent device. There are better devices, but at this price you are not going to find a comparable product.",9,1453
2162,2284,5,"I already has an older version of the Kindle, but this one is even better. I love the touch screen and the ability to scroll without buttons.",9,2171
2170,2292,5,I purchased this as a gift for my grandfather. He was excited when he opened it and will get great use out of it while he is in doors for winter.,9,488
2180,2302,5,Good to use it to read books under light.the price is lower than other website.,9,2070
2207,2329,4,Nice reader. Light weight. Clear display! Portable,9,282
2226,2349,4,"Good e-reader, with an improved design, light-weight",9,3605
2231,2354,5,Got this on sale for a great price and is a great product.,9,2445
2243,2366,5,I have several Kindles so knew what to expect. It is a great reading device and I keep several in different locations.,9,3191
2246,2369,5,If you really want to have a good read on something digital this is the item you're looking for. It really is lightweight and highly functional. The battery lasts a long time and the screen is easy on the eyes. The only difficulty sometimes is reading in extremely bright environments. Overall an excellent buy.,9,643
2248,2371,4,"I purchased this Kindle for my wife because her Kindle Fire gives off too much glare to use in sunny conditions. Besides being able to use it while riding in the car during daytime, the biggest advantage she found is that it is significantly lighter than the Fire. Since she reads for hours on end that is a big plus. The main drawback is that the graphics aren't as clear with this reader. All in all, it was money well spent.",9,3752
2261,2384,5,"OK, I was so unsure of this Kindle because it does not have all of the bells and whistles of the others. BUT I am very happy with it. I love my Kindle! I have managed to read a book a week on it sicnce I got if for Christmas. I have been reading the free books on Kindle. There are so many to pick from. While home, I download the books that I want to read and then while I am in the car or waiting at the DMV, I just pull of the book and read. It remembers where I am in the book. This Kindle does not have the back light. I was nervous about that but so far this has not been a problem because the light it has is fine for me. When I am reading in the car, I enlarge the font and it makes seeing the words easier for me. That is the most important factor for me because I can get car sick if I read while riding in the car but with the larger font I don't have that problem. I wear glasses with bifocals and holding this seems to be more comfortable than a book because I can hold it up if I need to. The size is perfect! Again, I can enlarge the font so the smaller screen size really has nothing to do with the readability. Love it!!",9,1937
2278,2401,5,"I bought this for my daughter, wanting to get her a kindle without having access to games (like with the kindle fire). This latest version of the kindle is excellent. I am jealous of my daughter and now am thinking about upgrading from my older kindle. The touchscreen is responsive. If you like reading on the kindle, it is worth the update.",9,2875
2279,2402,5,Such a great product. I like that it is very small and fit in my purse. I like that the battery last for a very long time.,9,3490
2290,2413,4,i bought this as a backup. I am currently using the same headphone.,9,989
2292,2415,5,Easy to navigate. Daughter loves it. It's lightweigh and its just what she needed for this avid reader.,9,2164
2294,2417,5,My first Kindle and I love it. No backlight and perfect view in the sun are awesome.,9,3401
2312,2435,2,it would not load my books proper. took a dozen tries erasing an dreregistering. screen too dark,9,2330
2341,2465,5,"Product is good, light. Amazing battery backup. I charge the Kindle one in 4 weeks. Great product for reasonable price. USB connection is easy, Books are easy to download. Overall, everyone must have Kindle with them and this is the best product/model to start with.Understandably, this is the beginner level model for people who never used Kindle before. Features like LED lights, White paper background are not available on this model. These features are there on higher models so one cannot read it in Dark without lights. But again, for this price you would not get any other good readers.If you are someone who reads in dark then I would suggest go for Higher Kindle models.",9,716
2381,2505,3,"I bought it cause I wanted to read more. That didn't happen, I tried and I just can't read on devices I need old school paper between my hands",9,1724
2385,2509,5,"Great starter eReader, very simply does what it's made to do.",9,2487
2399,2524,5,"Easy to use and navigate, purchasing books is fast and simple and I love the fact that I can password protect this device",9,2956
2400,2525,5,I am happy as i bought it for reading and it is good.,9,732
2403,2528,5,"I originally got the lower end Kindle, took it back and upgraded. The light really is a must. I can't believe how much more I'm reading now that I have it, and there are TONS of free books out there if you know where to look. Best. Purchase. EVER.",9,1372
2424,2549,5,I had always been looking to upgrade my original Kindle. I love the new touch features and display on this one. The size also makes it very easy to transport.,9,302
2433,2558,3,In my opinion this model is too small and feels cheap. And sd card slot.,9,1053
2486,2611,5,I am enjoying my Kindle very much! Easy to down load books and easy to read! Very happy with my purchase!,9,3189
2498,2623,4,"I love hear readers, I had to replace mine because I destroyed the last, but it is awesome",9,2781
2500,2625,5,"This is an awesome product.I also own a paperwhite, if you always read in good lighting I would recommend you save some money and buy this instead of the paperwhite.",9,781
2508,2633,5,Im happy to have it. Very comfortable and easy to use every where,9,1946
2518,2643,5,Love the simplicity. Also love that I use it for reading only and can't download distracting apps.,9,3742
2531,2656,5,I was unable to find a new Kindle in-store and was excited to find Best Buy had them online and I could purchase it and have it delivered simply and easily.,9,2540
2538,2663,5,"The Amazon Kindle is a series of e-readers designed and marketed by Amazon. Amazon Kindle devices enable users to browse, buy, download, and read e-books, newspapers, magazines and other digital media via wireless networking to the Kindle Store.",9,2961
2549,2674,5,I absolutely LOVE my kindle. I go nowhere without it. It has kept me entertained for hours. Don't have to keep up with books that get torn or lost. I would and DO RECOMMEND a kindle for EVERYONE,9,2852
2558,2684,5,"Took some time to get use to the Kindle Reader (use to the IPad), but I like that I can read without distractions.",9,1426
2561,2687,5,"I've been using the original B&N Nook ereader for several years now. I finally decided to upgrade. I wish I'd done it a lot sooner. The new Kindle touchscreen ereader is phenomenal.The device is light and easy to carry, almost unbelievably so. It is fast and responsive and touch screen has 0 delay. I would recommend anybody in the market for this one buy one immediately. You won't regret it.",9,2675
2565,2691,5,This make an excellent ebook reader. Don't expect much from this device except to read basic ebooks. The good thing is it's cheap and good to read in the sun.,9,753
2575,2701,4,Item work well and was easy to read from in day light,9,3526
2590,2716,4,"I like this ereader. It is a little small, but you can increase the font.",9,2145
2607,2733,3,"I love having real books, but these are great for travel and keeping your bookshelves lighter. I wish you could buy them with larger storage without having to buy the larger size pad. It also sucks that they are 4gig, but 1gig is taken up by the OS and advertising. Seriously? It reads PDFs and needs a 1 gig OS. Lame. The last thing I would change is being able to reverse the lettering so at night you could have white lettering and a black background, so it's less bright on the eyes.",9,2340
2619,2745,5,Good product with very nice price. Love it! Will return again.,9,598
2621,2747,4,Good size for reading and screen is easy to read. Even in sun light this was very easy to read and it fit into n small bag to carry around,9,3430
2640,2766,5,Very easy to handle. many books to choose from and very convenient,9,3511
2645,2772,4,The Kindle is amazing. This is my second one. The price was misleading however as I had to pay something like another extra 30 bucks to get rid of the ads. Just know that,9,3549
2659,2786,3,It is difficult to understand the instructions. I am still working on it.,9,1040
2677,2804,3,"Its a decent reader for beginners. There is no backlight, so not good for reading in dark. also slips from hands, so purchase a cover if you buy it.",9,3022
2680,2807,5,"Used it and looks very paper like. They integrated the simplest form of an e reader, which makes it stand out for its use.",9,1734
2684,2811,5,"It is so easy to use it is super light, and makes a book to read with no effort at all!",9,3526
2692,2819,5,Got it when it was on sale. Totally fall in love with it. Bring with it me everywhere.,9,1298
2697,2824,5,I'm enjoying the ease of having several reading options without the bulk.,9,1763
2701,2828,5,It is great to be able to have all you books in the same place...,9,1990
2708,2835,5,Love to rad my books with my kindle and download straight from my device. So easy and safe. Lovit. Thanks Best Buy,9,2581
2711,2838,4,"Didnt know how much i'd use a kindle so went for the lower end. im happy with it, even if its a little dark",9,1472
